,FILE_NAME,STATES,INPUTS,LSTAR_MQ_SYM,LSTAR_MQ_RST,LSTAR_EQ_SYM,LSTAR_EQ_RST,LSTAR_TOTAL_SYM,LSTAR_TOTAL_RST,LSTAR_EQs,LSTAR_MQs,CLSTAR_MQ_SYM,CLSTAR_MQ_RST,CLSTAR_EQ_SYM,CLSTAR_EQ_RST,CLSTAR_TOTAL_SYM,CLSTAR_TOTAL_RST,CLSTAR_EQs,CLSTAR_COMPONENTS,CLSTAR_ROUNDS,CLSTAR_MQs,CACHE
75,76,252,8,780202,15766,74848,501,855050,16267,2,17786,82158,1492,1886230,12549,1968388,14041,54,5,6,2924,True
76,77,360,8,654185,16586,76044,501,730229,17087,2,18731,927485,11543,1885834,12566,2813319,24109,69,5,6,21240,True
77,78,360,8,1227460,22443,75136,501,1302596,22944,2,25437,1315124,15722,1813393,12067,3128517,27789,77,5,6,30006,True
78,79,360,8,968473,18964,74817,501,1043290,19465,2,21436,817040,10097,1806558,12055,2623598,22152,77,5,6,23451,True
79,80,270,8,678377,19219,75387,501,753764,19720,2,21741,1078523,13695,1812792,12087,2891315,25782,76,5,6,26832,True
80,81,270,8,5568120,64452,76943,510,5645063,64962,4,72925,773510,9124,1731654,11563,2505164,20687,74,5,6,20400,True
81,82,270,8,2860297,40405,75885,505,2936182,40910,3,45709,612408,7185,1733509,11564,2345917,18749,75,5,6,18347,True
82,83,324,8,1532929,25086,75393,501,1608322,25587,2,28331,869607,10251,1887478,12553,2757085,22804,68,5,6,19199,True
83,84,324,8,1239136,24066,74615,501,1313751,24567,2,27179,612198,7896,1810981,12060,2423179,19956,70,5,6,15998,True
84,85,324,8,1820757,26956,74684,501,1895441,27457,2,30443,550888,6737,1881822,12555,2432710,19292,68,5,6,15479,True
85,86,144,8,670423,17521,76041,501,746464,18022,2,19787,874343,10778,1662267,11063,2536610,21841,80,5,6,22032,True
86,87,144,8,874905,18626,75039,501,949944,19127,2,21035,780344,9913,1808339,12059,2588683,21972,72,5,6,19456,True
87,88,144,8,1503843,22621,75137,501,1578980,23122,2,25547,947451,11445,1886686,12559,2834137,24004,70,5,6,21465,True
88,89,126,8,20744,3848,74615,500,95359,4348,1,4328,400281,5266,1886316,12556,2286597,17822,60,5,6,9264,True
89,90,126,8,20744,3848,75603,500,96347,4348,1,4328,131148,1737,1812239,12055,1943387,13792,57,5,6,3507,True
90,91,126,8,20744,3848,75548,500,96292,4348,1,4328,246821,2855,1656357,11058,1903178,13913,65,5,6,6631,True
91,92,504,8,1627525,24151,75039,501,1702564,24652,2,27275,877733,10438,1736731,11564,2614464,22002,69,5,6,17263,True
92,93,504,8,852897,20156,75272,501,928169,20657,2,22763,772694,10091,1888596,12566,2661290,22657,66,5,6,16728,True
93,94,504,8,651137,18456,74953,501,726090,18957,2,20843,953937,11529,1880742,12567,2834679,24096,67,5,6,18999,True
94,95,1120,9,2862080,51752,76927,521,2939007,52273,3,57693,1008617,13136,2635188,17578,3643805,30714,99,6,7,24057,True
95,96,1120,9,2149212,40890,76284,501,2225496,41391,2,45642,1060726,13950,2792404,18573,3853130,32523,93,6,7,24527,True
96,97,1120,9,3048985,55532,75213,502,3124198,56034,3,61905,1087114,13726,2632572,17572,3719686,31298,95,6,7,23573,True
